f (GHz),theta (deg.),phi (deg.),gain (dBi),directivity (dBi)
1.9800000000000002,59.99999999999999,-180.0,0.6143392109393023,1.0184560258442537
1.9800000000000002,62.0,-180.0,0.6466901457801797,1.072087641641673
1.9800000000000002,64.0,-180.0,0.6673509599509255,1.1063392901061617
1.9800000000000002,66.0,-180.0,0.6755610335138676,1.1199500099558979
1.9800000000000002,68.0,-180.0,0.6712209213858349,1.1127549404064934
1.9800000000000002,70.0,-180.0,0.6548386720483297,1.0855963279370808
1.9800000000000002,72.0,-180.0,0.6274888329161843,1.0402555650913954
1.9800000000000002,74.0,-180.0,0.5907744614027082,0.9793902121444242
1.9800000000000002,76.0,-180.0,0.5467843483759672,0.9064630818361481
1.9800000000000002,78.0,-180.0,0.4980385193082014,0.825651890779445
1.9800000000000002,80.0,-180.0,0.44741811334623344,0.7417330124714442
1.9800000000000002,82.0,-180.0,0.3980767975966016,0.6599346192491343
1.9800000000000002,84.0,-180.0,0.35331571850979365,0.5857293757818494
1.9800000000000002,86.0,-180.0,0.31635461155353045,0.5244549830177524
1.9800000000000002,88.0,-180.0,0.2898711465599313,0.4805505015396341
1.9800000000000002,90.0,-180.0,0.27526644256219934,0.4563387167026877
1.9800000000000002,92.0,-180.0,0.2720209275212644,0.45095827818997347
1.9800000000000002,94.0,-180.0,0.2777934247809776,0.46052796626073084
1.9800000000000002,96.00000000000001,-180.0,0.28931768699455435,0.4796329722343542
1.9800000000000002,98.0,-180.0,0.3033721765686243,0.502932607585631
1.9800000000000002,100.0,-180.0,0.3173028308516712,0.5260269478880018
1.9800000000000002,102.0,-180.0,0.32917260909949825,0.5457047528639384
1.9800000000000002,104.0,-180.0,0.33778758171549694,0.5599867173177978
1.9800000000000002,106.0,-180.0,0.34273367559538787,0.5681863878364097
1.9800000000000002,108.0,-180.0,0.3444340179005926,0.5710052277149288
1.9800000000000002,110.0,-180.0,0.3441685790569583,0.5705651812634266
1.9800000000000002,112.0,-180.0,0.3439615129331175,0.5702219055326598
1.9800000000000002,114.00000000000001,-180.0,0.3462348553678464,0.5739906692062614
1.9800000000000002,116.00000000000001,-180.0,0.35320030088953214,0.5855380356089435
1.9800000000000002,118.00000000000001,-180.0,0.3661554894782249,0.6070152417666447
1.9800000000000002,119.99999999999999,-180.0,0.3850362564804475,0.6383159150487133
1.9800000000000002,122.0,-180.0,0.40847910676885324,0.6771796432855725
1.9800000000000002,124.0,-180.0,0.434291555599524,0.7199717092733489
1.9800000000000002,126.0,-180.0,0.4600077335918345,0.7626041767629418
1.9800000000000002,128.0,-180.0,0.4832954969876832,0.8012108008178739
1.9800000000000002,130.0,-180.0,0.5021683153019583,0.8324982967070731
1.9800000000000002,132.0,-180.0,0.5150569551512015,0.8538651778790044
1.9800000000000002,134.0,-180.0,0.5208107257032598,0.8634038206771895
1.9800000000000002,136.0,-180.0,0.518680456146111,0.8598722442638372
1.9800000000000002,138.0,-180.0,0.5083160724078767,0.8426900932886005
1.9800000000000002,140.0,-180.0,0.4897984771713426,0.8119914888092319
1.9800000000000002,142.0,-180.0,0.4637193418271869,0.7687573079737726
1.9800000000000002,144.0,-180.0,0.4313241549985801,0.7150523309082524
1.9800000000000002,146.0,-180.0,0.3947424361403164,0.654406890500868
1.9800000000000002,148.0,-180.0,0.3573283193153574,0.5923814946714863
1.9800000000000002,150.0,-180.0,0.32404864559794283,0.5372102087888726
1.9800000000000002,152.0,-180.0,0.30148083419872157,0.4997971264064028
1.9800000000000002,154.0,-180.0,0.2963129341570888,0.49122974401465497
1.9800000000000002,156.0,-180.0,0.31193525037027214,0.5171285338064284
1.9800000000000002,158.0,-180.0,0.34625570532605615,0.5740252344190936
1.9800000000000002,160.0,-180.0,0.3936559766279056,0.652605749994862
1.9800000000000002,162.0,-180.0,0.44823362477206674,0.7430849732628038
1.9800000000000002,164.0,-180.0,0.5053055358002341,0.8376992037368975
1.9800000000000002,166.0,-180.0,0.561507339960552,0.9308709646975534
1.9800000000000002,168.0,-180.0,0.6144907112191121,1.0187071841134017
1.9800000000000002,170.0,-180.0,0.6626270628225885,1.0985079789833259
1.9800000000000002,172.0,-180.0,0.7047856051827894,1.1683987180782767
