f (GHz),S11 (dB),S11 (deg.)
2197600000.0,-10.854712565354008,-11.782618476504313
2199300000.0,-10.85388891644242,-11.8504532615248
2201000000.0,-10.85311773817724,-11.9174064603787
2202700000.0,-10.852397486745271,-11.983495385601316
2204400000.0,-10.851726665757358,-12.048736891579287
2206100000.0,-10.851103824535095,-12.113147390070543
2207800000.0,-10.850527556470553,-12.176742865087645
2209500000.0,-10.849996497455493,-12.23953888717493
2211200000.0,-10.849509324376578,-12.301550627108297
2212900000.0,-10.849064753673483,-12.362792869044785
2214600000.0,-10.848661539956732,-12.423280023147708
2216300000.0,-10.84829847468252,-12.48302613771175
2218000000.0,-10.847974384881727,-12.542044910811113
2219700000.0,-10.847688131940592,-12.600349701492608
2221400000.0,-10.847438610430597,-12.657953540534377
2223100000.0,-10.847224746985301,-12.714869140789961
2224800000.0,-10.847045499221881,-12.771108907136409
2226500000.0,-10.846899854705397,-12.826684946043994
2228200000.0,-10.846786829953746,-12.881609074784507
2229900000.0,-10.84670546948152,-12.935892830293838
2231600000.0,-10.846654844880966,-12.989547477704358
2233300000.0,-10.846634053938395,-13.042584018561067
2235000000.0,-10.846642219784465,-13.095013198735513
2236700000.0,-10.846678490076824,-13.146845516050396
2238400000.0,-10.84674203621368,-13.198091227627057
2240100000.0,-10.846832052576973,-13.248760356967958
2241800000.0,-10.84694775580383,-13.298862700785001
2243500000.0,-10.847088384085083,-13.348407835584599
2245200000.0,-10.847253196489701,-13.397405124019462
2246900000.0,-10.847441472314014,-13.44586372101696
2248600000.0,-10.8476525104547,-13.493792579693062
2250300000.0,-10.847885628804493,-13.54120045706079
